course_id,guidebook_file_name,guidebook_url_prefix,transcript_file_name,transcript_url_prefix
390,DG390_282FE3.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,DT390_EraCrusades.pdf,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/390/
408,DG408_10084B.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/408/
415,DG415_F2D1A9.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/415/
437,DG437_8A021D.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/437/
443,DG443_223A43.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/443/
447,DG447_9E49FC.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/447/
449,DG449_08DDBE.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/449/
452,DG452_E4B5EA.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/452/
455,DG455_1E0717.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/455/
463,DG463_280A7B.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/463/
464,DG464_C2F667.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/464/
470,DG470_23D899.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/470/
480,DG480_57C7BC.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/480/
484,DG484_936446.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/484/
499,DG499_0E15AD.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/499/
528,DG528_9EC061.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/528/
529,DG529_579A21.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/529/
550,DG550_77AC3E.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,DT550_Economics3rdEd.pdf,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/550/
561,DG561_C5ED16.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/561/
562,DG562_3C8600.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/562/
570,DG570_4FDA18.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/570/
611,DG611_C333D2.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/611/
615,DG615_750FEA.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/615/
616,DG616_BAD8CA.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/616/
625,DG625_0618DD.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/625/
643,DG643_18ABDE.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,DT643_HistoricalJesus.pdf,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/643/
647,DG647_27CEE1.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,DT647_EarlyChristianityExperienceDivine.pdf,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/647/
653,DG653_C6CCA4.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/653/
656,DG656_A92120.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/656/
657,DG657_2EA36D.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/657/
660,DG660_3AAD22.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,DT660_GreatIdeasPsychology.pdf,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/660/
675,DG675_5728B4.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/675/
687,DG687_E7EE5E.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,DT687_Buddhism.pdf,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/687/
690,DG690_960534.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/690/
700,DG700_BE32BC.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,DT700_HowtoListentoUnderstandGreatMusic3rdEd.pdf,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/700/
710,DG710_E70F52.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/710/
720,DG720_1D2BEC.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,DT720_BachHighBaroque.pdf,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/720/
728,DG728_4ED270.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/728/
730,DG730_CC6027.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/730/
740,DG740_71E7D1.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,DT740_HowtoListentoUnderstandOpera.pdf,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/740/
751,DG751_527851.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/751/
752,DG752_D0122C.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/752/
753,DG753_D427C0.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/753/
754,DG754_549A81.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/754/
755,DG755_0F0B1F.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/755/
756,DG756_CF23A7.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/756/
757,DG757_A94AFC.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/757/
758,DG758_B65DD6.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/758/
759,DG759_30FB22.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/759/
760,DG760_5E61E4.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/760/
780,DG780_954B35.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/780/
790,DG790_344F6D.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/790/
800,DG800_FBC372.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/800/
805,DG805_D3516F.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,DT805_HistoryHitlersEmpire2ndEd.pdf,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/805/
807,DG807_C7E9F1.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/807/
810,DG810_45C59F.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/810/
820,DG820_9BA698.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/820/
827,DG827_37DBC7.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/827/
828,DG828_99EE00.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/828/
863,DG863_054076.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/863/
869,DG869_A438D2.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,DT869_HighMiddleAges.pdf,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/869/
877,DG877_F6A268.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/877/
885,DG885_50D080.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/885/
888,DG888_585C95.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/888/
893,DG893_0B935B.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/893/
897,DG897_91CF98.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/897/
899,DG899_92D731.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/899/
1001,DG1001_57CD6.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/1001/
1002,DG1002_4B0E3.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/1002/
1005,DG1005_2A9FC.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/1005/
1007,DG1007_94C6D.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/1007/
1012,DG1012_0E4AA.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/1012/
1014,DG1014_C957B.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/1014/
1018,DG1018_Cpy61.pdf,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/1018/
1050,DG1050_A40AC.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/1050/
1100,DG1100_7B2DB9.PDF,http://anon.eastbaymediac.m7z.net/anon.eastbaymediac.m7z.net/teachingco/CourseGuideBooks/,,http://download.eastbaymedia-drm.com.edgesuite.net/anon.eastbaymedia-drm/courses/1100/
