accountnum,mergeto_account
Expected Records,65708
050316879,41753040
050316880,50316880
050316881,50316881
050316882,50316882
050316883,50316883
050316884,50316884
050316885,50316885
050316886,50316886
050316887,50316887
050316887,50551682
050316888,50316888
050316889,50316889
050316890,50316890
050316891,50316891
050316892,50316892
050316893,50316893
050316894,50316894
050316895,50316895
050316896,50316896
050316897,50316897
050316898,50316898
050316899,50316899
050316900,50316900
050316901,50316901
050316902,50316902
050316903,50316903
050316904,50316904
050316905,50316905
050316906,50316906
050316907,50316907
050316908,50316908
050316909,50316909
050316909,50230345
050316910,50316910
050316911,50316911
050316912,50316912
050316913,50316913
050316914,50316914
050316915,50316915
050316916,50316916
050316917,50316917
050316918,50316918
050316919,50316919
050316920,50316920
050316921,50316921
050316922,50316922
050316923,50316923
050316924,50316924
050316925,50316925
050316926,50316926
050316927,50316927
050316928,50316928
050316929,41402968
050316929,50316929
050316930,50316930
050316931,50316931
050316932,50316932
050316933,50316933
050316934,50316934
050316935,50316935
050316936,50316936
050316937,50316937
050316938,50316938
050316939,50316939
050316940,50316940
050316941,50316941
050316942,50316942
050316943,50316943
050316944,50316944
050316945,50316945
050316946,50316946
050316947,50316947
050316948,50316948
050316949,50316949
050316950,50316950
050316951,50316951
050316952,50316952
050316953,50316953
050316953,40884395
050316954,50316954
050316955,50316955
050316956,50316956
050316957,50316957
050316958,50316958
050316959,50316959
050316960,50316960
050316961,50316961
050316962,50316962
050316963,50316963
050316964,50316964
050316965,50316965
050316966,50316966
050316967,50316967
050316968,50316968
050316969,50316969
050316970,50316970
050316971,50316971
050316972,50316972
050316972,41488721
050316973,50316973
050316974,50316974
050316975,50316975
050316976,50316976
050316977,50316977
050316977,40845887
050316978,50316978
050316978,40702363
050316979,50316979
050316980,50316980
050316981,50316981
050316982,50316982
050316983,50316983
050316984,50316984
050316985,50316985
050316986,50316986
050316987,50316987
050316988,50316988
050316989,50316989
050316990,50316990
050316991,50316991
050316992,50316992
050316993,50316993
050316994,50316994
050316995,50316995
050316996,50316996
050316997,50316997
050316998,50316998
050316999,50316999
050317000,50317000
050317001,50302976
050317001,50317001
050317002,50317002
050317003,50317003
050317004,50317004
050317005,50317005
050317006,50317006
050317007,50317007
050317008,50317008
050317008,50260745
050317009,50317009
050317010,42462117
050317010,50317010
050317011,50317011
050317012,50285186
050317012,50317012
050317013,50317013
050317014,50317014
050317015,50317015
050317016,50317016
050317017,50317017
050317018,50317018
050317019,50317019
050317020,50317020
050317021,50317021
050317022,50317022
050317023,50317023
050317025,50317025
050317026,50317026
050317027,50317027
050317028,50317028
050317029,50317029
050317030,50317030
050317031,50317031
050317032,50317032
050317033,50317033
050317034,50317034
050317035,50317035
050317036,50317036
050317037,50317037
050317038,50317038
050317039,50317039
050317040,50317040
050317041,50317041
050317042,50317042
050317043,50317043
050317044,50317044
050317045,50317045
050317046,50317046
050317047,50317047
050317048,50317048
050317049,50317049
050317050,50317050
050317051,50317051
050317051,10001541
050317052,50317052
050317053,41378694
050317053,50317053
050317054,50317054
050317055,50317055
050317056,50317056
050317057,50317057
050317058,50317058
050317059,50317059
050317060,50317060
050317061,50317061
050317062,50317062
050317063,50317063
050317064,50317064
050317065,50317065
050317066,50317066
050317067,50317067
050317068,50317068
050317069,50317069
050317070,50317070
050317070,50317057
050317071,50317071
050317071,50317058
050317072,50317072
050317073,50317073
050317074,50317074
050317075,50317075
050317076,50317076
050317077,50317077
050317078,50317078
050317079,50317079
050317080,50317080
050317081,50317081
050317082,50317082
050317083,50317083
050317084,50317084
050317085,50317085
050317086,50317086
050317087,50317087
050317088,42428572
050317088,50317088
050317089,50317089
050317090,50317090
050317091,50317091
050317092,50317092
050317093,50317093
050317094,50317094
050317095,50317095
050317096,50317096
050317097,50317097
050317098,50317098
050317099,50317099
050317100,50317100
050317101,50317101
050317102,50317102
050317103,50317103
050317104,50317104
050317105,50317105
050317106,50317106
050317107,50317107
050317108,50317108
050317109,50317109
050317110,50317110
050317111,50317111
050317112,50317112
050317114,50317114
050317115,50317115
050317116,50317116
050317117,50317117
050317118,50317118
050317119,50317119
050317120,50317120
050317120,41003360
050317121,50317121
050317122,50317122
050317123,50317123
050317124,50317124
050317125,50317125
050317126,50317126
050317127,50317127
050317128,50317128
050317129,50052496
050317129,50317129
050317130,50317130
050317131,50317131
050317132,50317132
050317133,50317133
050317135,50317135
050317136,50317136
050317138,50317138
050317139,50317139
050317140,50317140
050317141,50317141
050317142,50317142
050317143,50317143
050317144,50317144
050317145,50317145
050317146,50317146
050317147,50317147
050317148,50317148
050317149,50317149
050317150,50317150
050317151,50317151
050317153,50317153
050317155,50317155
050317156,50317156
050317157,50317157
050317159,50317159
050317160,50317160
050317161,50317161
050317162,50317162
050317163,50317163
050317164,50317164
050317165,50317165
050317166,50317166
050317167,50317167
050317168,50317168
050317169,50317169
050317170,50317170
050317171,50317171
050317172,50317172
050317173,50317173
050317174,50317174
050317175,50317175
050317176,50317176
050317177,50317177
050317178,50317178
050317179,50317179
050317179,40527119
050317180,50317180
050317181,50317181
050317182,50317182
050317183,50317183
050317184,50317184
050317185,50317185
050317186,50317186
050317186,50316187
050317187,50317187
050317188,50317188
050317189,50317189
050317190,50317190
050317191,50317191
050317192,50317192
050317193,50317193
050317194,50317194
050317195,50317195
050317196,50317196
050317197,50317197
050317198,50317198
050317199,50317199
050317200,50317200
050317202,50317202
050317203,50317203
050317204,50317204
050317205,50317205
050317206,50317206
050317207,50317207
050317208,50317208
050317209,50317209
050317210,50317210
050317211,50317211
050317212,50317212
050317213,50317213
050317214,50317214
050317215,50317215
050317216,50317216
050317217,50317217
050317218,50317218
050317219,50317219
050317220,50317220
050317221,50317221
050317222,50317222
050317223,50317223
050317224,50317224
050317225,50317225
050317226,50317226
050317227,50317227
050317228,50317228
050317229,50317229
050317230,50317230
050317231,50317231
050317232,50317232
050317233,50317233
050317234,50317234
050317235,50317235
050317236,50317236
050317237,50317237
050317238,50317238
050317239,50317239
050317240,41511807
050317240,50317240
050317241,50317241
050317242,50317242
050317244,50317244
050317245,50317245
050317246,50317246
050317247,50317247
050317248,50317248
050317249,50317249
050317250,50317250
050317251,50317251
050317252,50317252
050317253,50317253
050317254,50317254
050317255,50317255
050317256,50317256
050317256,42363867
050317257,50317257
050317258,50317258
050317259,50317259
050317260,50317260
050317261,50317261
050317262,50317262
050317263,50317263
050317264,50317264
050317265,50317265
050317266,50317266
050317267,50317267
050317268,50317268
050317269,50317269
050317270,50317270
050317271,50317271
050317272,50317272
050317274,50317274
050317275,50317275
050317276,50317276
050317277,50317277
050317278,50317278
050317279,50317279
050317280,50317280
050317281,50317281
050317282,50317282
050317283,50317283
050317284,50317284
050317285,50317285
050317286,50317286
050317287,50317287
050317289,50317289
050317290,50317290
050317292,50317292
050317293,50317293
050317294,50317294
050317296,50317296
050317297,50317297
050317298,50317298
050317299,50317299
050317300,50317300
050317301,50317301
050317302,50317302
050317303,50317303
050317304,50317304
050317305,50317305
050317306,50317306
050317307,50317307
050317308,50317308
050317309,50317309
050317310,50317310
050317311,50317311
050317312,50317312
050317313,50317313
050317314,50317314
050317315,50317315
050317316,50317316
050317317,50317317
050317318,50317318
050317319,50317319
050317320,50317320
050317321,50317321
050317322,40713477
050317322,50317322
050317323,50317323
050317324,50317324
050317325,50317325
050317326,50317326
050317327,50317327
050317328,50317328
050317329,50317329
050317330,50317330
050317331,50317331
050317332,50317332
050317333,50317333
050317334,50317334
050317335,50317335
050317336,50317336
050317337,50317337
050317338,50317338
050317339,50317339
050317340,50317340
050317341,50317341
050317342,50317342
050317343,50317343
050317344,50317344
050317345,50317345
050317347,50317347
050317348,50317348
050317349,50317349
050317350,50317350
050317351,50317351
050317352,50317352
050317353,50317353
050317354,50317354
050317355,50317355
050317356,50317356
050317357,50317357
050317358,50317358
050317359,50317359
050317360,50317360
050317361,50317361
050317362,50317362
050317363,50317363
050317364,50317364
050317365,50317365
050317366,50317366
050317367,50317367
050317368,50317368
050317369,50317369
050317371,50317371
050317372,50317372
050317373,50317373
050317374,50317374
050317375,50317375
050317376,50317376
050317377,50317377
050317378,50317378
050317379,50317379
050317380,50317380
050317381,50317381
050317382,50317382
050317383,50317383
050317384,50317384
050317385,50317385
050317386,50317386
050317387,50317387
050317388,50317388
050317389,50317389
050317390,50317390
050317392,50317392
050317393,50317393
050317394,50317394
050317395,50317395
050317396,50317396
050317397,50317397
050317398,50317398
050317399,50317399
050317400,50317400
050317401,50317401
050317402,50317402
050317403,50317403
050317404,50317404
050317405,50317405
050317406,50317406
050317407,50317407
050317408,50317408
050317409,50317409
050317410,50317410
050317411,50317411
050317412,50317412
050317414,50317414
050317416,50317416
050317417,50317417
050317418,50317418
050317419,50317419
050317420,50317420
050317421,50317421
050317422,50317422
050317423,50317423
050317424,50317424
050317425,50317425
050317426,50317426
050317427,50317427
050317428,50317428
050317429,50317429
050317430,50317430
050317431,50317431
050317432,50317432
050317433,50317433
050317434,50317434
050317435,50317435
050317436,50317436
050317437,50317437
050317438,50317438
050317439,50317439
050317440,50317440
050317441,50317441
050317442,50317442
050317443,50317443
050317444,50317444
050317445,50317445
050317446,50317446
050317447,50317447
050317448,50317448
050317449,50317449
050317450,50317450
050317451,50317451
050317452,50317452
050317454,50317454
050317455,50317455
050317456,50317456
050317457,50317457
050317458,50317458
050317459,50317459
050317460,50317460
050317461,50317461
050317462,50317462
050317463,50317463
050317464,50317464
050317465,50317465
050317466,50317466
050317467,50317467
050317468,50317468
050317469,50317469
050317470,50317470
050317471,50317471
050317472,50317472
050317473,50317473
050317474,50317474
050317475,50317475
050317476,50317476
050317477,50317477
050317478,50317478
050317479,50317479
050317480,50317480
050317481,50317481
050317482,50317482
050317483,50317483
050317484,50317484
050317485,50317485
050317486,50317486
050317487,50317487
050317487,50289517
050317488,50317488
050317489,50317489
050317490,50317490
050317491,50317491
050317492,50317492
050317493,50317493
050317494,41814928
050317494,50317494
050317495,50317495
050317495,41495189
050317496,50317496
050317497,50317497
050317498,50317498
050317499,50317499
050317500,50317500
050317501,50317501
050317502,50317502
050317504,50317504
050317505,50317505
050317506,50317506
050317507,50317507
050317508,50317508
050317509,50317509
050317510,50317510
050317511,50317511
050317512,50317512
050317513,50317513
050317513,41075018
050317514,50317514
050317515,50317515
050317516,50317516
050317517,50317517
050317518,50317518
050317519,50317519
050317519,40615166
050317520,50317520
050317521,50317521
050317522,50317522
050317523,50317523
050317524,50317524
050317525,36546
050317525,50317525
050317526,50317526
050317527,50317527
050317528,50317528
050317529,50317529
050317530,50317530
050317531,50317531
050317532,50317532
050317533,50317533
050317534,50317534
050317535,50317535
050317536,50317536
050317537,50317537
050317538,50317538
050317539,50317539
050317540,50317540
050317541,50317541
050317542,50317542
050317543,50317543
050317543,42413697
050317544,50317544
050317545,50317545
050317546,50317546
050317547,50317547
050317548,50317548
050317549,50317549
050317550,50317550
050317551,50317551
050317552,50317552
050317554,50317554
050317555,50317555
050317556,50317556
050317557,50317557
050317558,50317558
050317559,50317559
050317560,50317560
050317561,50317561
050317562,50317562
050317563,50317563
050317564,50317564
050317565,50317565
050317566,50317566
050317567,50317567
050317568,50317568
050317569,50317569
050317570,50317570
050317571,50317571
050317572,50317572
050317573,50317573
050317574,50317574
050317575,50317575
050317576,50317576
050317577,50317577
050317578,50317578
050317579,50317579
050317580,50317580
050317582,50317582
050317583,50317583
050317584,50317584
050317585,50317585
050317587,50317587
050317588,50317588
050317589,50317589
050317590,50317590
050317591,50317591
050317592,50317592
050317593,50317593
050317594,50317594
050317595,50317595
050317596,50317596
050317597,50317597
050317598,50317598
050317599,50317599
050317600,50317600
050317601,50317601
050317602,50317602
050317603,50317603
050317604,50317604
050317605,50317605
050317606,50317606
050317607,50317607
050317608,50317608
050317609,50317609
050317610,50317610
050317611,50317611
050317612,50317612
050317613,50317613
050317614,50317614
050317615,50317615
050317616,50317616
050317617,50317617
050317618,50317618
050317619,50317619
050317620,50317620
050317621,34095
050317621,50317621
050317622,50317622
050317623,50317623
050317624,50317624
050317625,50317625
050317626,50317626
050317627,50317627
050317628,50317628
050317629,50317629
050317630,50317630
050317631,50317631
050317632,50317632
050317633,50317633
050317634,50317634
050317635,50317635
