catalogcode,name,description,start_date,stop_date,apply_special_shipping,special_shipping_price,currency,allow_coupons
32291,Qumin.G.NB CT 5133 Hidden Factor,Qumin.G.NB CT 5133 Hidden Factor,02/26/2013,12/31/2099,0,0,GBP,1
32292,Qumin.G.NB CT 5630 Money and Banking,Qumin.G.NB CT 5630 Money and Banking,02/26/2013,12/31/2099,0,0,GBP,1
32293,Qumin.G.NB CT 687 Buddhism,Qumin.G.NB CT 687 Buddhism,02/26/2013,12/31/2099,0,0,GBP,1
32294,Qumin.G.NB CT 8280 Medieval World,Qumin.G.NB CT 8280 Medieval World,02/26/2013,12/31/2099,0,0,GBP,1
32295,Qumin.G.NB CT 9331 Effective Communication Skills,Qumin.G.NB CT 9331 Effective Communication Skills,02/26/2013,12/31/2099,0,0,GBP,1
32296,Qumin.G.NB CT 9422 Masters of War,Qumin.G.NB CT 9422 Masters of War,02/26/2013,12/31/2099,0,0,GBP,1
32297,Qumin.G.NB CT 3890 Events That Changed History,Qumin.G.NB CT 3890 Events That Changed History,02/26/2013,12/31/2099,0,0,GBP,1
32298,Qumin.G.NB CT 7901 Fundamentals Of Photography,Qumin.G.NB CT 7901 Fundamentals Of Photography,02/26/2013,12/31/2099,0,0,GBP,1
32299,Qumin.G.NB CT 3850 History of the Ancient World: A,Qumin.G.NB CT 3850 History of the Ancient World: A Global Pe,02/26/2013,12/31/2099,0,0,GBP,1
32300,Qumin.G.NB CT 7640 How to Look at and Understand G,Qumin.G.NB CT 7640 How to Look at and Understand Great Art,02/26/2013,12/31/2099,0,0,GBP,1
32301,Qumin.G.NB CT 7111 Leonardo da Vinci and the Itali,Qumin.G.NB CT 7111 Leonardo da Vinci and the Italian High Re,02/26/2013,12/31/2099,0,0,GBP,1
32302,Qumin.G.NB CT 1970 Lifelong Health,Qumin.G.NB CT 1970 Lifelong Health,02/26/2013,12/31/2099,0,0,GBP,1
